"11Giraffes","https://manage.11giraffes.com/","{\"learned_xpath_password_xpath\": \"/html/body/form/div[2]/div[6]/div/table/tbody/tr[1]/td/div/table/tbody/tr[1]/td/table/tbody/tr[4]/td/input\", \"learned_xpath_username_xpath\": \"/html/body/form/div[2]/div[6]/div/table/tbody/tr[1]/td/div/table/tbody/tr[1]/td/table/tbody/tr[2]/td/input\", \"learned_xpath_username\": \"#ctl00_ContentPlaceHolder1_LoginView1_Login1_UserName\", \"learned_doc_id_username\": \"-1\", \"learned_xpath_click_xpath\": \"/html/body/form/div[2]/div[6]/div/table/tbody/tr[1]/td/div/table/tbody/tr[1]/td/table/tbody/tr[7]/td/input\", \"learned_xpath_click\": \"#ctl00_ContentPlaceHolder1_LoginView1_Login1_LoginButton\", \"learned_doc_id_password\": \"-1\", \"learned_doc_id_click\": \"-1\", \"learned_xpath_password\": \"#ctl00_ContentPlaceHolder1_LoginView1_Login1_Password\"}"
"ADP - eTime","https://etime.adp.com/login.aspx","{\"learned_xpath_click\": \"#dnn_ctr_Login_Login_DNN_cmdLogin\", \"learned_xpath_password\": \"#dnn_ctr_Login_Login_DNN_txtPassword\", \"learned_xpath_username\": \"#dnn_ctr_Login_Login_DNN_txtUsername\"}"
"ADP - FlexDirect","https://www.flexdirect.adp.com/login.aspx","{\"learned_xpath_click\": \"#btnLogin\", \"learned_xpath_password\": \"#txtPassword\", \"learned_xpath_username\": \"#txtUserName\"}"
"ADP - HR/Benefits","https://adp.eease.com/","{\"learned_xpath_click\": \"INPUT[type\\u003d\\u0027SUBMIT\\u0027][name\\u003d\\u0027LoginSubmit\\u0027]\", \"learned_xpath_password\": \"INPUT[type\\u003d\\u0027password\\u0027][size\\u003d\\u002715\\u0027][name\\u003d\\u0027password\\u0027]\", \"learned_xpath_username\": \"INPUT[type\\u003d\\u0027TEXT\\u0027][maxlength\\u003d\\u002720\\u0027][size\\u003d\\u002715\\u0027][name\\u003d\\u0027username\\u0027]\"}"
"ADP - iLearn","https://adpe.csod.com/client/adpe/default.aspx","{\"learned_xpath_click\": \"#submit\", \"learned_xpath_password\": \"#passWordBox\", \"learned_xpath_username\": \"#userNameBox\"}"
"ADP - myKplan","https://www.mykplan.com/sponsorsecure_net/login.aspx","{\"learned_xpath_click\": \"#_ctl0_PageContent_Submit1\", \"learned_xpath_password\": \"INPUT[type\\u003d\\u0027password\\u0027][placeholder\\u003d\\u0027Password\\u0027][maxlength\\u003d\\u002725\\u0027][name\\u003d\\u0027PIN\\u0027][autocomplete\\u003d\\u0027off\\u0027][data-role\\u003d\\u0027none\\u0027]\", \"learned_xpath_username\": \"#txtUserID\"}"
"ADP - Payroll login","https://workcenter.secure.probusiness.com/wp_prwc21/logon.asp","{\"learned_xpath_click\": \"INPUT[type\\u003d\\u0027submit\\u0027][name\\u003d\\u0027action\\u0027]\", \"learned_xpath_password\": \"INPUT[type\\u003d\\u0027password\\u0027][name\\u003d\\u0027Pin\\u0027][maxlength\\u003d\\u002714\\u0027][size\\u003d\\u002720\\u0027]\", \"learned_xpath_username\": \"INPUT[type\\u003d\\u0027text\\u0027][name\\u003d\\u0027EmployeeID\\u0027][maxlength\\u003d\\u002735\\u0027][size\\u003d\\u002720\\u0027]\"}"
"ADP - Supplier Management","http://sc-tforce2-12c37e19579-13da5-14934842336.force.com/","{\"learned_xpath_password_xpath\": \"/html/body/form/div/div/div/div/div/div[2]/div/div/div/div/div/input[2]\", \"learned_xpath_username_xpath\": \"/html/body/form/div/div/div/div/div/div[2]/div/div/div/div/div/input\", \"learned_xpath_username\": \"#supplierloginpage:LoginForm:username\", \"learned_doc_id_username\": \"-1\", \"learned_xpath_click_xpath\": \"/html/body/form/div/div/div/div/div/div[2]/div/div/div/div/div/div[3]/input[1]\", \"learned_xpath_click\": \"#supplierloginpage:LoginForm:loginButton\", \"learned_doc_id_password\": \"-1\", \"learned_doc_id_click\": \"-1\", \"learned_xpath_password\": \"#supplierloginpage:LoginForm:password\"}"
"ADP Workforce Now","https://workforcenow.adp.com/public/index.htm","{\"learned_xpath_username\": \"INPUT[type\\u003d\\u0027text\\u0027][name\\u003d\\u0027USER\\u0027][autocomplete\\u003d\\u0027off\\u0027][class\\u003d\\u0027input1\\u0027]\", \"learned_doc_id_username\": \"-1\", \"learned_xpath_click\": \"[id\\u003d\\u0027portal.login.logIn\\u0027]\", \"learned_doc_id_password\": \"-1\", \"learned_doc_id_click\": \"-1\", \"learned_xpath_password\": \"INPUT[type\\u003d\\u0027password\\u0027][name\\u003d\\u0027PASSWORD\\u0027][autocomplete\\u003d\\u0027off\\u0027][class\\u003d\\u0027input2\\u0027]\"}"
"ADP-HBP","https://ewallet.adp.com/arcot/enroll/adpLogin.faces","{\"learned_xpath_click\": \"FORM#registrationForm DIV:nth-child(9) DIV.buttonMid:nth-child(2)\", \"learned_xpath_password\": \"#USER\", \"learned_xpath_username\": \"#USER\"}"
"ADP-HRB","https://ewallet.adp.com/arcot/enroll/adpLogin.faces","{\"learned_xpath_click\": \"FORM#registrationForm DIV:nth-child(9) DIV.buttonMid:nth-child(2)\", \"learned_xpath_password\": \"#USER\", \"learned_xpath_username\": \"#USER\"}"
